Job Title,Job Company,Job Location,Job Type,Job Pay,Job Excerpt
Health Department Contact Tracer,Madison County Government,"Wood River, IL 62095",Not remote,$21.77 an hour,"

Call individual(s) and record all data accurately in prescribed web-based client resource management (CRM) platform for all cases and contacts.
"
"Remote Case Investigator - Raleigh, NC - $20.00/hr.",SWC Group,"Raleigh, NC",Remote,$20 an hour,"

This will ensure the contact tracers can initiate the notification process of all close contacts as soon as possible.
Ability to speak, read, and write English.
"
Contract - Contact Tracer,MIC Global Services,"Plano, TX 75024",Not remote,Pay details not available,"

Contact tracers will follow a script to inform contacts about the importance of quarantine and what to do if symptoms develop.
"
Contact Tracer,UC San Diego,"San Diego, CA",Not remote,$20.50 an hour,"

Identify potential close contacts of a confirmed case.
Ensure that contacts who develop symptoms promptly isolate themselves and notify public health staff.
"
Contact Tracer - Temporary,Community Consolidated School District 15,"Palatine, IL",Not remote,$20 an hour,"
JobID: 4855 Position Type: Temporary Employee/Contact Tracer Date Posted: 11/13/2020 Location: Educational Service Center, Palatine, IL Date Available…"
New Jeresy Contact Tracer,Public Consulting Group,New Jersey,Temporarily remote,Pay details not available,"

Adheres to contact center scheduling, ensures telephone coverage during contact center hours of operation.
Call contacts of newly diagnosed cases.
"
Contact Tracer - COVID-19 Contact Tracing Program (Remote Po...,AM LLC,"Los Angeles, CA",Remote,Pay details not available,"

Call contacts of newly-diagnosed patients.
Communicate with contacts in a professional and empathetic manner.
College degree or equivalent required.
"
Contact Tracing Team Members,City of Somerville,"Somerville, MA 02143 (Union Square area)",Not remote,$30 an hour,"

Our contact tracing team calls every resident diagnosed with COVID-19 and provides isolation guidance, identifies their contacts, and calls their contacts to…
"
Contact Tracer,BHcare,"North Haven, CT 06473",Remote,Pay details not available,"

Inform the supervisor when attempts to communicate with a contact are unsuccessful.
Assure confidentiality and carry out efforts to communicate with contacts in…
"
Contact Tracer,Goodwill TalentBridge,"Racine, WI 53406",Not remote,$18 - $20 an hour,"

Contacts individuals with suspected, probable, or confirmed communicable diseases as well as identified contacts of newly diagnosed persons.
"
Contact Tracer - COVID-19 Contact Tracing Program (Remote Po...,AM Trace,Remote,Not remote,Pay details not available,"

Maintain daily contact with the supervisor.
Call contacts of newly-diagnosed patients.
Communicate with contacts in a professional and empathetic manner.
"
Contact Tracer - COVID-19 Contact Tracing Program (Remote Po...,AM Trace,Remote,Not remote,Pay details not available,"

Maintain daily contact with the supervisor.
Call contacts of newly-diagnosed patients.
Communicate with contacts in a professional and empathetic manner.
"
Pandemic Contact Tracer,Maxo Marketing Services,"Kansas City, MO",Remote,$12 - $14 an hour,"

Staffing should have a public or investigative service experience.
Estimated time for case investigations is a maximum of 60 minutes.
"
Contact Tracer,Concentric Methods,"Bethesda, MD 20892",Not remote,Pay details not available,"

Advise if contacts need to be placed on active monitoring, and if/ when testing is recommended.
Complete all relevant forms in detail, legibly and proficiently,…
"
Contact Tracer - Contracted Role,City of Fishers,Indiana,Remote,$18 an hour,"

Inform the team and supervisor when attempts to communicate with a contact are unsuccessful.
Verify the contact’s identity during initial communications and…
"
Georgia Contact Tracer - Coronavirus Response,Georgia Department of Public Health,Georgia,Not remote,$15 an hour,"

The aim of this will be to call every person diagnosed with COVID-19, gather their contacts, and proceed to call every contact in Georgia.
"
COVID-19 Contact Tracer,City of Fargo,"Fargo, ND 58102 (Downtown area)",Not remote,$30 an hour,"

Duties will include daily documentation of changes in health status for cases and contacts, COVID-19 testing referrals for contacts who become symptomatic…
"
"COVID-19 Containment, Contact Tracer",UNC Charlotte,"Charlotte, NC",Not remote,Pay details not available,"

Assign risk category depending on the contact?s underlying medical conditions, occupation, living situation and level of contact with case and understand…
"
OPS COVID 19 CONTACT TRACER - 64964552,The State of Florida,"Daytona Beach, FL 32120",Not remote,$25 an hour,"

Answers telephone inquiries involved with contact tracing duties related to quarantine and monitoring of contacts.
"
"Remote Contact Tracers - Houston, TX - $13.00/hr.",SWC Group,"Houston, TX",Remote,$13 an hour,"

The contact tracer also details specific processes for contacts to conduct health monitoring and refers contacts for testing according to established protocols.
"
STEPS Contact Tracer,University of Kentucky,"Lexington, KY",Not remote,$18.16 - $29.07 an hour,"

In contact tracing, public health staff work with a patient to help them recall everyone with whom they have had close contact during the timeframe while they…
"
Temp COVID-19 Contact Tracer,Peoria County,"Peoria, IL",Not remote,Pay details not available,"

Responsible for assisting the Epidemiology/ Clinical Services program COVID-19 response efforts.
Aid the community in limiting the spread of this contagious…
"
Contact Tracer COVID-19 Response,Bates County Health Center,"Butler, MO 64730",Not remote,From $10.50 an hour,"

High school or equivalent (Preferred).
"
Contact Tracer (Temporary),"City of Columbia, MO","Columbia, MO",Not remote,$17 an hour,"

Presents a courteous and helpful demeanor to all contacts.
Communicates with close contacts of COVID 19 cases to document symptoms and provide quarantine…
"
Contact Tracer PRN,Sarasota Memorial Health Care System,"Sarasota, FL",Not remote,Pay details not available,"

Coordinates non-clinical contact tracing activities for all individuals who have had close contact with a known individual who has tested positive for COVID-19,…
"
Contact Tracer - COVID-19,Rutgers University,New Jersey,Not remote,Pay details not available,"

Note that some of this contact may occur electronically.
Assign risk category depending on the contact’s underlying medical conditions, occupation, living…
"
Georgia Contact Tracer - Coronavirus Response,Georgia Department of Public Health,Georgia,Not remote,$15 an hour,"

The aim of this will be to call every person diagnosed with COVID-19, gather their contacts, and proceed to call every contact in Georgia.
"
New Jeresy Contact Tracer,Public Consulting Group,New Jersey,Temporarily remote,Pay details not available,"

Adheres to contact center scheduling, ensures telephone coverage during contact center hours of operation.
Call contacts of newly diagnosed cases.
"
Contact Tracer,Johnson County Iowa,"Iowa City, IA",Not remote,$16 an hour,"

Describe and educate on risk depending on the contact’s underlying medical conditions, occupation, living situation and level of contact with case.
"
Contact Tracer,Island County,"Camano, WA",Not remote,$16.50 an hour,"

Providing contacts with regulated information on isolation and quarantine procedures.
Coordinating contact tracing efforts with Supervisors and Case…
"
STEPS Contact Tracer,University of Kentucky,"Lexington, KY",Not remote,$18.16 - $29.07 an hour,"

In contact tracing, public health staff work with a patient to help them recall everyone with whom they have had close contact during the timeframe while they…
"
COVID-19 CONTACT TRACER - ACHN MOBILE TESTING UNIT,Cook County Health & Hospitals System,"Chicago, IL",Not remote,$20.75 an hour,"

Calls contacts of newly diagnosed cases and performs follow up contacts to support tracing obligations.
This may require home visits with the contacts.
"
Contact Tracer- JHHS Healthcare Epidemiology and Infection C...,Johns Hopkins Hospital,"Baltimore, MD 21201 (Downtown area)",Not remote,Pay details not available,"

The ICAN Contact Tracer works within the JHHS Department of Healthcare Epidemiology and Infection Control by conducting interviews with COVID-19 positive…
"
Office Clerk - COVID-19 Contact Tracing Program (Remote Posi...,AM LLC,California,Remote,Pay details not available,"

Answering phones and redirecting calls to appropriate contacts.
AM Trace has an immediate openings for an Office Clerk to support state and local COVID-19…
"
Health Clerk COVID - Temporary,Monroe County,"Rochester, NY",Not remote,$15 - $20 an hour,"

Duties include but are not limited to telephone communication, the use of a personal computer for data entry, compiling and mailing letters, contact tracing,…
"
CONTACT TRACER,Equus Workforce Solutions,"Saint Joseph, MO 64501",Not remote,Pay details not available,"

The Contact Tracer will use a web-based platform and telephone to communicate with assigned contacts, obtain symptom information, refer contacts for testing,…
"
"Remote Contact Tracers - Houston, TX - $13.00/hr.",SWC Group,"Houston, TX",Remote,$13 an hour,"

The contact tracer also details specific processes for contacts to conduct health monitoring and refers contacts for testing according to established protocols.
"
Disease Research & Intervention Specialist - Contact Tracing,King County,"Seattle, WA 98104 (Downtown area)",Remote,$30.68 - $38.89 an hour,"

They contact individuals identified by cases (“contacts”) who were potentially exposed while the case was in the contagious period of their illness.
"
Contact Tracer COVID-19 Response,Bates County Health Center,"Butler, MO 64730",Not remote,From $10.50 an hour,"

High school or equivalent (Preferred).
"
Contact Tracer (PRN) - Student Health & Wellness,Washington University in St. Louis,"St. Louis, MO",Remote,$17.48 - $27.09 an hour,"

Inform the team and supervisor when attempts to communicate with a contact are unsuccessful.
Verify the contact’s identity during initial communications and…
"
Pandemic Contact Tracer - Extra Help,SIU Medicine,"Springfield, IL",Not remote,$12.77 - $17.60 an hour,"

Hours: Monday-Sunday, 8:00 AM-8:30 PM, 29.5 hours/week.
"
Contact Tracer,University of North Dakota,"Grand Forks, ND 58202",Not remote,$20 an hour,"

Maintain confidentiality and respect for cases and contacts.
You will also be an educational contact for cases, serving as a person who can answer questions…
"
Contact Tracer - Bilingual Yiddish Preferred,Public Consulting Group,"Newburgh, NY",Remote,Pay details not available,"

Call contacts of newly diagnosed cases.
The aim of this initiative will be to call every person diagnosed with COVID-19, establish all contacts of this person,…
"
COVID Case Liaison and Contact Tracer,Elmhurst Community Unit School District 205,"Elmhurst, IL",Not remote,$20 an hour,"

The communication with the contact or case will be completed by telephone and email.
Conduct check-ins with assigned cases and contacts to assess signs/symptoms…
"
"Contact Tracer (Part-Time, Temporary) - Health Center",Azusa Pacific University,"Azusa, CA 91702",Remote,$16.11 - $20.94 an hour,"

Provide contacts with regulated information on isolation and quarantine procedures.
Standard protective practice of wearing gloves for patient and body fluid…
"
Contact Tracer,Seer Solutions Inc.,"Anchorage, AK",Not remote,$20 - $21 an hour,"

Bilingual English (must be able to speak, read & write) - Fluent in one Spanish, Taglog, Serbian, Russian, Somali or Mandarin.
MS Excel: 1 year (Preferred).
"
Contact Tracer,Egyptian Health Department,"Eldorado, IL 62930",Not remote,Pay details not available,"

Participate in PHI training to learn procedures for contact tracing and scripts to follow.
High School Diploma or GED required.
Must work nights and weekends.
"
Contact Tracer,Jefferson College,"Hillsboro, MO 63050",Not remote,$12.98 an hour,"

Communicate with students who test positive for COVID-19 and/or who are experiencing COVID-19 symptoms to perform contact tracing; communicate with faculty,…
"
COVID-19 Contact Tracer,Pittsburgh Mercy,"Pittsburgh, PA 15212",Not remote,Pay details not available,"

Call contacts of newly diagnosed cases.
The Contact Tracer will communicate with assigned contacts, obtain symptom information, refer contacts for testing, and…
"
Contact Tracer Trainer,Penn State University,"Hershey, PA",Remote,Pay details not available,"

Contact Tracing Trainers will be responsible for training team leads, community health workers, case investigators, and contact tracers in general and program…
"
Internal Covid-19 Contact Tracer,"Rural Health Group, Inc.","Roanoke Rapids, NC 27870",Not remote,Pay details not available,"

Although contact tracers will prioritize notification of contacts by phone, there may also be the need for contact tracers to perform field visits to reach…
"
Field Operations Coordinator-Contact Tracer Management Team,Montgomery County Pennsylvania,"Norristown, PA",Not remote,"$49,441 - $64,273 a year","

Overseeing, support and on-going training of contact tracer team leads and contact tracers.
Provide training to contact tracers in conjunction with Data…
"
Community Services Representative III - Contact Tracer,"City of Pasadena, CA","Pasadena, CA",Not remote,$21.71 - $27.11 an hour,"

Prior experience in contact tracing or disease containment.
The Contact Tracer will call assigned contacts, obtain symptom information, refer contacts for…
"
Contact Tracer- *TEMPORARY*,Central California Faculty Medical Group Inc,"Fresno, CA 93721 (Central area)",Not remote,Pay details not available,"

Coordinate contact tracing efforts with Supervisors.
Interviewing traced contacts, assessing symptoms, and referring them for testing.
"
Contact Tracer,Hagerty Consulting Inc,"Conroe, TX 77301",Not remote,Pay details not available,"

Providing contacts with regulated information on isolation and quarantine procedures.
Coordinating contact tracing efforts with Supervisors and Case…
"
Contact Tracers - COVID-19 Support,Thurston County,"Olympia, WA 98502",Not remote,$29.50 an hour,"

This includes but is not limited to entering contact information into a database, providing guidance, educations and foolow-up to contacts, working with the…
"
Contact Tracer,Staffing Etc.,Not specified,Remote,$25 an hour,"

The Contact Tracer will work from home using a web-based platform and telephone to communicate with assigned contacts, obtain symptom information, refer…
"
COVID-19 Contact Tracer,Northern Indiana Hispanic Health Coalition,"Elkhart, IN",Not remote,$18 - $22 an hour,"

Helping to register patients at COVID-19 Testing Sites.
Job Types: Part-time, Contract, Temporary.
High school or equivalent (Preferred).
"
Disease Research & Intervention Specialist - Contact Tracing,King County,"Seattle, WA 98104 (Downtown area)",Remote,$30.68 - $38.89 an hour,"

They contact individuals identified by cases (“contacts”) who were potentially exposed while the case was in the contagious period of their illness.
"
Contact Tracer Support,"City of Baltimore, MD","Baltimore, MD",Temporarily remote,$96 a day,"

This position will provide job coaching and other career development support to temporary staff members at the Baltimore City Health Department (BCHD) who are…
"
Contact Tracer,Seer Solutions Inc.,"Anchorage, AK",Not remote,$20 - $21 an hour,"

Bilingual English (must be able to speak, read & write) - Fluent in one Spanish, Taglog, Serbian, Russian, Somali or Mandarin.
MS Excel: 1 year (Preferred).
"
Contact Tracer,University of North Dakota,"Grand Forks, ND 58202",Not remote,$20 an hour,"

Maintain confidentiality and respect for cases and contacts.
You will also be an educational contact for cases, serving as a person who can answer questions…
"
OPS Contact Tracer- Department of Health,Florida Department of Health in Miami-Dade County,"Miami, FL 33125 (Allapattah area)",Not remote,$21 an hour,"

Answers telephone inquiries involved with contact tracing duties related to quarantine and monitoring of contacts.
"
COVID-19 Contact Tracer (Temporary Position),Clark County Combined Health District,"Springfield, OH 45503",Not remote,$15 an hour,"

\* Call contacts of newly diagnosed cases.
\* Communicate with contacts in a professional and empathetic manner.
Fit-testing for respirator may be indicated.
"
Temporary Remote Contact Tracer - Work from Home! - Starting...,Nelnet,Nebraska,Temporarily remote,$12 an hour,"

Follow scripting provided in coaching and training.
Ensure integrity of data and information.
Participate in coaching’s, meetings, and ongoing training sessions…
"
COVID-19 CONTACT TRACER - ACHN MOBILE TESTING UNIT,Cook County Health & Hospitals System,"Chicago, IL",Not remote,$20.75 an hour,"

Calls contacts of newly diagnosed cases and performs follow up contacts to support tracing obligations.
This may require home visits with the contacts.
"
Contact Tracer,Umatilla County,"Pendleton, OR 97801",Not remote,$22.14 an hour,"

The primary duties will be to collect data through phone interviews, to gather and analyze data and to maintain accurate records to proactively support the…
"
Urgent Need for Contact Tracer,Staffing Etc.,Not specified,Temporarily remote,$25 an hour,"

The Contact Tracer will work from home using a web-based platform and telephone to communicate with assigned contacts, obtain symptom information, refer…
"
Contact Tracer,Hancock County Health Department,"Carthage, IL 62321",Not remote,$10 - $12 an hour,"

The contact tracer is responsible for reaching out to people (contacts) who have been exposed to COVID-19 and providing health education and guidance to…
"
Contact Tracing Case Investigator,University of Texas at El Paso,"El Paso, TX 79968 (Central area)",Remote,$15 an hour,"

Maintain daily contact with supervisor.
The aim of this will be to call every person diagnosed with COVID-19, gather information about their contacts, and to…
"
Bilingual (Spanish) Covid-19 Contact Tracer/Survey Interview...,"Professional Research Consultants, Inc",Iowa,Temporarily remote,Pay details not available,"

Maintain daily contact with supervisor.
The aim of this position will be to call every person diagnosed and/or exposed with COVID-19, gather their contacts, and…
"
Contact Tracer - Bilingual Yiddish Preferred,Public Consulting Group,"New York, NY 10038 (Financial District area)",Remote,Pay details not available,"

Call contacts of newly diagnosed cases.
The aim of this initiative will be to call every person diagnosed with COVID-19, establish all contacts of this person,…
"
Contact Tracer,Alivio Medical Center,"Chicago, IL 60608 (Pilsen area)",Temporarily remote,Pay details not available,"

Inform the team and supervisor when attempts to communicate with a contact are unsuccessful.
Verify the contact’s identity during initial communications and…
"
Contact Tracer - Temporary,Lancaster General Hospital,"Lancaster, PA",Not remote,Pay details not available,"

Communicate with cases and contacts in a professional and empathetic manner.
Collect and record information from the case interview/contact gathering into the…
"
Office Associate - COVID-19 Contact Tracing Program (Anchora...,AM Trace,Remote,Not remote,Pay details not available,"

Answering phones and redirecting calls to appropriate contacts.
High call-volume position using a Customer Relationship Managerment (CRM) application.
"
COVID-19 Contact Tracers,"Riley County, KS","Manhattan, KS",Not remote,Pay details not available,"

This full-time, temporary position assists with investigation, contact tracing, and tracking around positive COVID-19 cases.
High school diploma or equivalent.
"
COVID Case Liaison and Contact Tracer,Elmhurst Community Unit School District 205,"Elmhurst, IL",Not remote,$20 an hour,"

The communication with the contact or case will be completed by telephone and email.
Conduct check-ins with assigned cases and contacts to assess signs/symptoms…
"
Pandemic Contact Tracer - Extra Help,SIU Medicine,"Springfield, IL",Not remote,$12.77 - $17.60 an hour,"

Hours: Monday-Sunday, 8:00 AM-8:30 PM, 29.5 hours/week.
"
Contact Tracer,The University of Chicago Medicine,"Chicago, IL 60637 (Hyde Park area)",Not remote,Pay details not available,"

Follow established scripts and protocols to contact people who has tested positive for COVID-19 to gather information on everyone with whom they have recently…
"
Contact Tracer Registered Nurse,Marathon Health,"Medford, MA 02155",Remote,Pay details not available,"

Marathon Health is seeking a full time Registered Nurse (RN) who has knowledge and experience in contact tracing.
RN license required (may be in any state).
"
Contact Tracer/Tracker,University of Alaska,"Fairbanks, AK",Remote,Pay details not available,"

Monitor contacts and notifications to efficiently complete contact notification.
NOTE: Completion of contact tracing and FERPA training is required upon hire.
"
Lead Contact Tracer,Stetson University,"DeLand, FL 32723",Not remote,Pay details not available,"

Manage distribution of load amongst tracers.
Lead training and continued development of tracer team.
Organize and support group of 20 tracers who are assisting…
"
Contact Tracer (PRN) - Student Health & Wellness,Washington University in St. Louis,"St. Louis, MO",Remote,$17.48 - $27.09 an hour,"

Inform the team and supervisor when attempts to communicate with a contact are unsuccessful.
Verify the contact’s identity during initial communications and…
"
Chicago COVID Contact Tracer - Part Time,SGA YOUTH & FAMILY SERVICES NFP,"Chicago, IL 60632 (Brighton Park area)",Not remote,Pay details not available,"

Maintain regular, frequent contact with supervisor.
Contact Tracers are responsible for communicating with persons who have had sustained close contact with a…
"
Contact Tracer,Pueblo of Jemez,"Jemez Pueblo, NM 87024",Not remote,Pay details not available,"

Responsible for tracing and monitoring contacts of people diagnosed with infectious diseases.
Participate in broad engagement to foster an understanding and…
"
Office Associate - COVID-19 Contact Tracing Program (Remote...,AM LLC,Alaska,Remote,Pay details not available,"

Answering phones and redirecting calls to appropriate contacts.
AM Trace has an immediate openings for an Office Associate to support state and local COVID-19…
"
Nurse/Contact Tracer,Town of Glastonbury,"Glastonbury, CT 06033",Not remote,$27 an hour,"

Performs contact tracing for residents identified positive with or exposed to COVID-19, both onsite and remotely.
One (1) year of nursing experience.
"
Contact Tracer - Public Health* (Extra-Help/CDI),San Bernardino County,"San Bernardino, CA 92408 (Valley View area)",Not remote,$20.31 an hour,"

Communicate with cases and contacts in a professional and empathetic manner.
Collect and record information from the case interview/contact gathering into the…
"
Community Tracing Collaborative Contact Tracer Supervisor,Partners In Health,"Boston, MA",Remote,Pay details not available,"

Contact Tracing Supervisors also will oversee delivery of training, monitor tracing calls and provide guidance to contact tracers who may encounter difficult…
"
Contractual Contact Tracer,Kankakee County Health Department,"Kankakee, IL 60901",Not remote,$23 an hour,"

Conversations with contacts should be guided by standard protocols.
O This position will communicate with contacts to notify them of exposure, provide disease…
"
Contact Tracer Supervisor,Public Health Institute,California,Not remote,"$63,000 a year","

Communicate with contacts in a professional and empathetic manner.
Track daily and weekly progress for the team against target goals including cases contacted…
"
"COVID-19 Containment, Case Investigator",UNC Charlotte,"Charlotte, NC",Not remote,Pay details not available,"

Work closely with a team made up of surveillance coordinators, contact tracers, and data managers to efficiently complete case investigations. ?
"
Contact Tracer / Case Investigator - WORK FROM HOME - Must l...,Alorica,"Tucson, AZ 85756",Temporarily remote,Pay details not available,"

A successful contact tracer should be able to actively listen, think critically, solve problems and empathize with contacts.
"
"Supervisor, Contact Tracing",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Interview the patient and investigate data to trace the patient’s contacts, and coordinate next steps for contacts.
Provide staff coaching and training.
"
Intake Contact Tracer,Chicago Public Schools,"Chicago, IL",Not remote,Pay details not available,"

Work with the team to execute the next steps and notifying close contacts;
Contact Tracers will be trained in the basics of the virus, epidemiology, case…
"
Case Investigator/Contact Tracer (CI/CT),TIBURCIO VASQUEZ HEALTH CENTER INC.,"Hayward, CA 94541 (North Hayward area)",Not remote,Pay details not available,"

Participate in contact tracing training to learn procedures and best practices around case investigation and contact tracing.
This requires the CI/CT to:
"
Bilingual COVID-19 Contact Tracer (County Classification: Co...,County of San Luis Obispo,"San Luis Obispo County, CA",Not remote,"$51,230 - $62,275 a year","

The Contact Tracers make daily contact with positive testing persons to check in and release from quarantine when appropriate.
"
Case Investigator - VDOH,Athena Consulting Llc,"Richmond, VA 23219 (Capitol District area)",Not remote,$33.25 - $37.50 an hour,"

Communicates with contacts in a professional and empathic manner, assuring them of the confidentiality of the information collected and explaining how the…
"
Contact Tracer & Case Investigator Supervisor,Georgia Department of Public Health,Georgia,Not remote,$23 an hour,"

May be required to perform the functions of a contact tracer or case investigator depending on the volume of cases or close contacts.
"
Contact Tracers,Texas A&M University,"College Station, TX 77840",Not remote,Pay details not available,"

Call contacts of newly diagnosed patients.
The aim is to call every person diagnosed with COVID-19 (a ”case”) , gather information about their contacts (a …
"
"Contact Tracer/Program Assistant, Civil Service Extra Help-...",Southern Illinois University Edwardsville,"Extra, WV",Not remote,$17.22 an hour,"

Interview traced contacts, assess symptoms, and referring them for possible testing; provide contacts with regulated information on isolation and quarantine…
"
Contact Tracer - Temporary,Oklahoma City Public Schools,"Oklahoma City, OK",Not remote,Pay details not available,"

Communicate with contacts in a professional and empathetic manner.
Help ensure the safe, sustainable and effective quarantine of contacts to prevent additional…
"
Contact Tracer / Case Investigator - WORK FROM HOME - Must l...,Alorica,"Tucson, AZ 85756",Temporarily remote,Pay details not available,"

A successful contact tracer should be able to actively listen, think critically, solve problems and empathize with contacts.
"
Case Investigator - VDOH,Athena Consulting Llc,"Richmond, VA 23219 (Capitol District area)",Not remote,$33.25 - $37.50 an hour,"

Communicates with contacts in a professional and empathic manner, assuring them of the confidentiality of the information collected and explaining how the…
"
Contact Tracer – Temporary Position,Yukon-Kuskokwim Health Corporation,"Bethel, AK",Not remote,Pay details not available,"

The Contact Tracer position focuses on activities involving people with potential exposure to COVID 19 through close contact with a person diagnosed with COVID…
"
"Social Worker - COVID-19 Contact Tracing Program (Anchorage,...",AM Trace,Remote,Not remote,Pay details not available,"

AM Trace has an immediate opening for a Social Worker to support state and local COVID-19 Contact Tracing programs.
Collect and record information to the CRM.
"
Contract Healthcare Recruiter (Remote) - COVID-19 Contact Tr...,AM LLC,Remote,Not remote,Pay details not available,"

AM Trace has an immediate opening for a Contract Recruiter to support state and local efforts to fight the COVID-19 Contact Tracing program, nationwide.
"
Contact Tracer (Congregate Setting),Southern Seven Health Department,"Ullin, IL 62992",Not remote,Pay details not available,"

Refer contacts for testing according to procedures.
This position does come with aÂ benefit package(dependent on the schedule you choose) including vacation,Â…
"
Health Education Case Investigator (COVID) - Temp.,miOttawa.org,"Holland, MI",Remote,$25.44 an hour,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
"Program Manager, Contact Tracing & Screening",Barnard College,"New York, NY 10027 (Morningside Heights area)",Not remote,Pay details not available,"

Resolve problems with contact tracers as issues arise during the course of the work and when difficult cases are encountered.
"
Office Associate - COVID-19 Contact Tracing Program (Anchora...,AM Trace,Remote,Not remote,Pay details not available,"

Answering phones and redirecting calls to appropriate contacts.
High call-volume position using a Customer Relationship Managerment (CRM) application.
"
Contact Tracer - Temporary position,Montana State University,"Bozeman, MT",Not remote,Pay details not available,"

Conducts communicable disease contact tracing activities following extensive training and ongoing support by GCCHD staff;
"
Part Time Contact Tracer,Indiana University,"Indianapolis, IN 46202 (Downtown area)",Temporarily remote,Pay details not available,"

May be involved with contact tracing duties related to quarantine and monitoring of contacts.
Skill in capturing information from case/contact interviews and…
"
Office Clerk - COVID-19 Contact Tracing Program (Remote Posi...,AM LLC,California,Remote,Pay details not available,"

Answering phones and redirecting calls to appropriate contacts.
AM Trace has an immediate openings for an Office Clerk to support state and local COVID-19…
"
Contact Tracer - COVID-19 Contact Tracing Program (Remote -...,AM Trace,Remote,Not remote,Pay details not available,"

Maintain daily contact with the supervisor.
Call contacts of newly-diagnosed patients.
Communicate with contacts in a professional and empathetic manner.
"
TDY Lead Contact Tracer,Acestack LLC,"Bethel, AK",Not remote,$50 a day,"

It is preferred that the lead possess an advanced understanding of the principles of case investigation and contact tracing and can guide the team regarding…
"
